meanz,energ_tot,energ_ecal,energy
1094.54555,155.557925,155.557925,-0.8240244444444444
1091.588095,443.226369,443.012973,-0.05576888888888887
1084.19216,135.661142,135.316668,-0.8566822222222222
1125.682831,776.251125,774.94228,0.9952977777777776
1104.492063,661.747926,660.557,0.5595133333333333
1101.301363,798.557515,797.659653,0.7514755555555557
1086.214281,860.131591,860.131591,0.95722
1094.207056,186.461235,186.461235,-0.7637355555555555
1096.587581,195.910602,195.910602,-0.7334799999999999
1091.54283,187.656103,187.531044,-0.7538866666666667
1088.900083,91.87092,91.87092,-0.9562466666666667
1093.55184,322.433456,322.433456,-0.3429022222222222
1090.89502,659.879406,659.879406,0.38809111111111116
1096.352563,625.437273,625.36382,0.4150533333333335
1093.174453,140.751761,140.740821,-0.8327088888888889
1088.883583,811.350783,811.350783,0.815031111111111
