Epoch 0 | Batch 20 | Loss: [0.8015273] | Acc: 0.45
Epoch 0 | Batch 20 | Loss: [0.5136791] | Acc: 0.55
Epoch 0 | Batch 20 | Loss: [0.6141311] | Acc: 0.5
Epoch 0 | Batch 20 | Loss: [0.6516526] | Acc: 0.65
Epoch 0 | Batch 20 | Loss: [1.1560609] | Acc: 0.4
Epoch 0 | Batch 20 | Loss: [0.41590127] | Acc: 0.6
Epoch 0 | Batch 20 | Loss: [0.39881164] | Acc: 0.6
Epoch 0 | Batch 20 | Loss: [0.56350106] | Acc: 0.5
Epoch 0 | Batch 20 | Loss: [1.5055215] | Acc: 0.3
Epoch 0 | Batch 20 | Loss: [0.8594596] | Acc: 0.45
Epoch 0 | Batch 20 | Loss: [0.6684915] | Acc: 0.4
Epoch 0 | Batch 20 | Loss: [0.80869275] | Acc: 0.5
Epoch 0 | Batch 20 | Loss: [0.5247217] | Acc: 0.65
Epoch 0 | Batch 20 | Loss: [0.5217252] | Acc: 0.35
Epoch 0 | Batch 20 | Loss: [1.0914575] | Acc: 0.25
Epoch 0 | Batch 20 | Loss: [0.843478] | Acc: 0.3
Epoch 0 | Batch 20 | Loss: [0.92747486] | Acc: 0.4
Epoch 0 | Batch 20 | Loss: [0.51765406] | Acc: 0.55
Epoch 0 | Batch 20 | Loss: [0.749169] | Acc: 0.4
Epoch 0 | Batch 20 | Loss: [0.75550765] | Acc: 0.4
Epoch 0 | Batch 20 | Loss: [0.5110493] | Acc: 0.5
Epoch 0 | Batch 20 | Loss: [0.634657] | Acc: 0.5
Epoch 0 | Batch 20 | Loss: [0.8200229] | Acc: 0.55
Epoch 0 | Batch 20 | Loss: [1.0935273] | Acc: 0.25
Epoch 0 | Batch 20 | Loss: [0.6740758] | Acc: 0.4
Epoch 0 | Batch 20 | Loss: [0.72686875] | Acc: 0.35
Epoch 0 | Batch 20 | Loss: [0.6655789] | Acc: 0.6
Epoch 0 | Batch 20 | Loss: [0.55655694] | Acc: 0.45
Epoch 0 | Batch 20 | Loss: [0.74824643] | Acc: 0.35
Epoch 0 | Batch 20 | Loss: [0.829317] | Acc: 0.35
Epoch 0 | Batch 20 | Loss: [0.8503703] | Acc: 0.5
Epoch 0 | Batch 20 | Loss: [0.7171773] | Acc: 0.4
Epoch 0 | Batch 20 | Loss: [0.6051405] | Acc: 0.45
Epoch 0 | Batch 20 | Loss: [0.54156774] | Acc: 0.45
Epoch 0 | Batch 20 | Loss: [0.5365399] | Acc: 0.55
Epoch 0 | Batch 20 | Loss: [0.6868697] | Acc: 0.6
Epoch 0 | Batch 20 | Loss: [0.72476685] | Acc: 0.55
Epoch 0 | Batch 20 | Loss: [1.1126993] | Acc: 0.35
Epoch 0 | Batch 20 | Loss: [0.74907243] | Acc: 0.5
Epoch 0 | Batch 20 | Loss: [0.44038194] | Acc: 0.65
Epoch 0 | Batch 20 | Loss: [0.635332] | Acc: 0.5
Epoch 0 | Batch 20 | Loss: [0.75535405] | Acc: 0.4
Epoch 0 | Batch 20 | Loss: [0.73264915] | Acc: 0.55
Epoch 0 | Batch 20 | Loss: [0.5763996] | Acc: 0.6
Epoch 0 | Batch 20 | Loss: [0.44735208] | Acc: 0.6
Epoch 0 | Batch 20 | Loss: [1.0978975] | Acc: 0.4
Epoch 0 | Batch 20 | Loss: [0.7134491] | Acc: 0.45
Epoch 0 | Batch 20 | Loss: [0.5231441] | Acc: 0.65
Epoch 0 | Batch 20 | Loss: [0.6761828] | Acc: 0.5
Epoch 0 | Batch 20 | Loss: [1.0412602] | Acc: 0.25
Epoch 0 | Batch 20 | Loss: [0.6014358] | Acc: 0.45
Epoch 0 | Batch 20 | Loss: [1.0387868] | Acc: 0.45
Epoch 0 | Batch 20 | Loss: [0.9118179] | Acc: 0.4
Epoch 0 | Batch 20 | Loss: [0.45543447] | Acc: 0.6
Epoch 0 | Batch 20 | Loss: [0.79469454] | Acc: 0.35
Epoch 0 | Batch 20 | Loss: [0.53046983] | Acc: 0.6
Epoch 0 | Batch 20 | Loss: [0.8391205] | Acc: 0.3
Epoch 0 | Batch 20 | Loss: [0.57234716] | Acc: 0.55
Epoch 0 | Batch 20 | Loss: [0.29967436] | Acc: 0.85
Epoch 0 | Batch 20 | Loss: [0.7109095] | Acc: 0.55
Epoch 0 | Batch 20 | Loss: [1.1404688] | Acc: 0.5
Epoch 0 | Batch 20 | Loss: [0.7410543] | Acc: 0.55
Epoch 0 | Batch 20 | Loss: [0.6871613] | Acc: 0.25
Epoch 0 | Batch 20 | Loss: [0.6987031] | Acc: 0.4
Epoch 0 | Batch 20 | Loss: [0.78067863] | Acc: 0.45
Epoch 0 | Batch 20 | Loss: [0.9858297] | Acc: 0.3
Epoch 0 | Batch 20 | Loss: [0.4818601] | Acc: 0.5
Epoch 0 | Batch 20 | Loss: [0.88330555] | Acc: 0.45
Epoch 0 | Batch 20 | Loss: [0.83982] | Acc: 0.35
Epoch 0 | Batch 20 | Loss: [0.85115063] | Acc: 0.55
Epoch 0 | Batch 20 | Loss: [0.9506232] | Acc: 0.4
Epoch 0 | Batch 20 | Loss: [1.1131372] | Acc: 0.4
Epoch 0 | Batch 20 | Loss: [0.5220355] | Acc: 0.6
Epoch 0 | Batch 20 | Loss: [0.17890528] | Acc: 0.75
Epoch 0 | Batch 20 | Loss: [0.7313765] | Acc: 0.45
Epoch 0 | Batch 20 | Loss: [0.5981924] | Acc: 0.5
Epoch 0 | Batch 20 | Loss: [0.73911065] | Acc: 0.4
Epoch 0 | Batch 20 | Loss: [0.60640126] | Acc: 0.55
Epoch 0 | Batch 20 | Loss: [0.3214586] | Acc: 0.7
Epoch 0 | Batch 20 | Loss: [0.47687903] | Acc: 0.4
Epoch 0 | Batch 20 | Loss: [0.7418899] | Acc: 0.45
Epoch 0 | Batch 20 | Loss: [0.28125903] | Acc: 0.55
Epoch 0 | Batch 20 | Loss: [0.65863335] | Acc: 0.5
Epoch 0 | Batch 20 | Loss: [0.7424491] | Acc: 0.5
Epoch 0 | Batch 20 | Loss: [0.72387475] | Acc: 0.5
Epoch 0 | Batch 20 | Loss: [0.48401546] | Acc: 0.6
Epoch 0 | Batch 20 | Loss: [0.42940694] | Acc: 0.55
Epoch 0 | Batch 20 | Loss: [0.8162754] | Acc: 0.5
Epoch 0 | Batch 20 | Loss: [0.70352775] | Acc: 0.55
Epoch 0 | Batch 20 | Loss: [0.5190787] | Acc: 0.6
Epoch 0 | Batch 20 | Loss: [0.4577629] | Acc: 0.5
